"Player","Rank","Total Points","Team","2025","2024","2023","2022","2021","2020","2019","2018","2017","2016"
"Josh Allen","1","2938.58","BUF","1","4","1","2","1","1","6","21","",""
"Patrick Mahomes","2","2815.36","KC","11","11","8","1","4","4","8","1","52",""
"Dak Prescott","3","2714.6199999999994","DAL","5","31","3","18","7","33","2","12","10","6"
"Jared Goff","4","2632.6800000000003","DET","8","6","7","10","24","18","13","6","13","36"
"Aaron Rodgers","5","2599.4999999999995","PIT","19","16","","13","6","3","10","7","31","1"
"Matthew Stafford","6","2554.8999999999996","LAR","2","19","15","32","5","15","29","20","7","7"
"Kirk Cousins","7","2545.66","LV","35","21","24","7","11","11","18","13","5","5"
"Lamar Jackson","8","2420.52","BAL","20","1","4","14","15","10","1","29","",""
"Baker Mayfield","9","2056.5000000000005","TB","12","3","10","29","25","17","19","16","",""
"Justin Herbert","10","1875.7999999999997","LAC","9","13","17","11","2","9","","","",""
"Jalen Hurts","11","1821.14","PHI","10","9","2","3","9","35","","","",""
"Kyler Murray","12","1752.4","MIN","39","10","26","19","10","2","7","","",""
"Joe Burrow","13","1571.1","CIN","28","2","25","4","8","25","","","",""
"Deshaun Watson","14","1487.46","CLE","","41","36","35","","5","5","5","26",""
"Sam Darnold","15","1398.94","SEA","13","8","56","36","28","30","27","27","",""
"Daniel Jones","16","1330.72","IND","17","29","45","9","27","24","23","","",""
"Trevor Lawrence","17","1307.58","JAX","4","26","13","8","22","","","","",""
"Tua Tagovailoa","18","1233.94","ATL","25","22","9","15","26","32","","","",""
"Geno Smith","19","1115.56","NYJ","22","12","19","5","41","75","","","54","55"
"Jacoby Brissett","20","1052.46","ARI","14","47","58","24","39","50","24","","21","44"
"Brock Purdy","21","904.1","SF","24","14","6","33","","","","","",""
"Jordan Love","22","860.9","GB","15","17","5","66","51","","","","",""
"C.J. Stroud","23","738.4399999999999","HOU","21","18","11","","","","","","",""
"Bo Nix","24","662.54","DEN","6","7","","","","","","","",""
"Bryce Young","25","605.44","CAR","18","20","23","","","","","","",""
"Caleb Williams","26","599.72","CHI","7","15","","","","","","","",""
"Drake Maye","27","549.5999999999999","NE","3","23","","","","","","","",""
"Jayden Daniels","28","488.1","WAS","34","5","","","","","","","",""
"Jaxson Dart","29","246.58","NYG","16","","","","","","","","",""
"Cam Ward","30","193.66","TEN","23","","","","","","","","",""
"Michael Penix Jr.","31","176.38","ATL","33","46","","","","","","","",""
"Tyler Shough","32","169.96","NO","26","","","","","","","","",""
"Malik Willis","33","128.38","MIA","45","45","73","52","","","","","",""
"Shedeur Sanders","34","97.9","CLE","37","","","","","","","","",""
