"Player","Rank","Total Points","Team","2025","2024","2023","2022","2021","2020","2019","2018","2017","2016"
"Davante Adams","1","2326.8","LAR","11","14","11","3","3","1","24","3","14","8"
"Mike Evans","2","2021.5","SF","73","11","5","16","8","10","12","8","18","2"
"Stefon Diggs","3","1976.6200000000001","WAS","16","68","10","4","7","3","21","11","20","38"
"Keenan Allen","4","1717.9599999999998","IND","32","35","8","42","14","14","8","12","3","172"
"Cooper Kupp","5","1557.3","SEA","56","38","41","24","1","27","4","52","26",""
"A.J. Brown","6","1436.9","NE","10","16","7","5","32","11","15","","",""
"DJ Moore","7","1432.38","BUF","33","17","6","22","19","22","18","38","",""
"Justin Jefferson","8","1428.9400000000003","MIN","22","2","29","1","4","6","","","",""
"CeeDee Lamb","9","1361.1000000000001","DAL","18","8","1","6","18","20","","","",""
"Chris Godwin Jr.","10","1343","TB","78","51","31","20","17","32","2","25","70",""
"Ja'Marr Chase","11","1302.3200000000002","CIN","4","1","13","12","5","","","","",""
"DK Metcalf","12","1299.7999999999997","PIT","26","31","16","18","12","7","32","","",""
"Amon-Ra St. Brown","13","1219.48","DET","3","3","3","8","21","","","","",""
"Terry McLaurin","14","1215.4","WAS","55","5","28","14","25","21","28","","",""
"Deebo Samuel Sr.","15","1165.6599999999999","SF","29","44","12","37","2","97","29","","",""
"Courtland Sutton","16","1116.66","DEN","13","13","35","43","46","181","19","51","",""
"Calvin Ridley","17","1036.3","TEN","110","30","17","","104","4","25","20","",""
"Tee Higgins","18","1020.4","CIN","14","19","49","17","22","30","","","",""
"Jakobi Meyers","19","958.4","JAX","35","24","24","28","33","57","100","","",""
"Christian Kirk","20","950.6800000000001","SF","108","95","47","11","26","50","40","58","",""
"Michael Pittman Jr.","21","938.9000000000001","PIT","24","42","15","23","15","81","","","",""
"DeVonta Smith","22","888.5000000000001","PHI","21","29","20","10","29","","","","",""
"Jaylen Waddle","23","869.8199999999999","DEN","25","46","34","7","16","","","","",""
"Hollywood Brown","24","816.6999999999999","PHI","45","146","52","46","23","34","46","","",""
"Jerry Jeudy","25","783.7","CLE","54","15","50","21","90","44","","","",""
"Puka Nacua","26","756.6","LAR","1","25","4","","","","","","",""
"Nico Collins","27","754.4","HOU","8","20","9","78","87","","","","",""
"Kendrick Bourne","28","751.4000000000001","ARI","66","103","69","81","30","60","70","64","119",""
"Darius Slayton","29","725.8000000000001","NYG","65","71","45","51","105","55","35","","",""
"George Pickens","30","719.0999999999999","DAL","5","41","26","36","","","","","",""
"Drake London","31","705.1800000000001","ATL","15","6","39","35","","","","","",""
"Darnell Mooney","32","679.1999999999999","NYG","80","32","83","74","24","51","","","",""
"Jaxon Smith-Njigba","33","657.6999999999999","SEA","2","10","48","","","","","","",""
"Chris Olave","34","641.7","NO","6","93","19","25","","","","","",""
"Michael Gallup","35","635.4000000000001","","","","78","68","79","38","22","78","",""
"Garrett Wilson","36","634.8","NYJ","63","9","32","19","","","","","",""
"Zay Flowers","37","564.7","BAL","7","21","30","","","","","","",""
"Jauan Jennings","38","498.09999999999997","MIN","31","27","110","90","85","","","","",""
"Jordan Addison","39","493.40000000000003","MIN","42","22","21","","","","","","",""
"Alec Pierce","40","488.90000000000003","IND","23","37","72","60","","","","","",""
"Jameson Williams","41","474.50000000000006","DET","9","18","81","151","","","","","",""
"Mack Hollins","42","473.46000000000004","NE","58","80","118","44","109","133","145","","113",""
"Romeo Doubs","43","472.5","NE","36","58","37","76","","","","","",""
"Wan'Dale Robinson","44","460.40000000000003","TEN","19","43","54","117","","","","","",""
"Christian Watson","45","445.6","GB","43","69","65","34","","","","","",""
"Kalif Raymond","46","431.69999999999993","CHI","93","107","70","59","53","145","137","","",""
"Rashid Shaheed","47","421","SEA","39","88","42","67","","","","","",""
"Olamide Zaccheaus","48","417.3","ATL","81","73","121","62","78","114","143","","",""
"Khalil Shakir","49","406.6","BUF","38","39","61","130","","","","","",""
