"Name","Team","GP","Top 12","QB 1-6","QB 7-12","QB2","QB3+"
"Lamar Jackson","BAL","46","69.6%","39.1%","30.4%","15.2%","15.2%"
"Josh Allen","BUF","51","68.6%","43.1%","25.5%","19.6%","11.8%"
"Jalen Hurts","PHI","48","64.6%","45.8%","18.8%","25.0%","10.4%"
"Joe Burrow","CIN","35","60.0%","34.3%","25.7%","17.1%","22.9%"
"Brock Purdy","SF","40","57.5%","32.5%","25.0%","27.5%","15.0%"
"Baker Mayfield","TB","51","56.9%","21.6%","35.3%","29.4%","13.7%"
"Drake Maye","NE","30","53.3%","13.3%","40.0%","30.0%","16.7%"
"Dak Prescott","DAL","42","50.0%","38.1%","11.9%","33.3%","16.7%"
"Jayden Daniels","WAS","24","50.0%","29.2%","20.8%","37.5%","12.5%"
"Jaxson Dart","NYG","14","50.0%","28.6%","21.4%","28.6%","21.4%"
"Patrick Mahomes","KC","46","47.8%","21.7%","26.1%","47.8%","4.3%"
"Justin Herbert","LAC","46","47.8%","26.1%","21.7%","39.1%","13.0%"
"Jordan Love","GB","47","46.8%","21.3%","25.5%","40.4%","12.8%"
"Trevor Lawrence","JAX","43","46.5%","18.6%","27.9%","37.2%","16.3%"
"Tyler Shough","NO","11","45.5%","9.1%","36.4%","36.4%","18.2%"
"Sam Howell","SEA","20","45.0%","15.0%","30.0%","15.0%","40.0%"
"Caleb Williams","CHI","34","44.1%","26.5%","17.6%","32.4%","23.5%"
"Bo Nix","DEN","34","44.1%","17.6%","26.5%","41.2%","14.7%"
"Jared Goff","DET","51","43.1%","27.5%","15.7%","51.0%","5.9%"
"Jake Browning","CIN","14","42.9%","14.3%","28.6%","28.6%","28.6%"
"Matthew Stafford","LAR","48","41.7%","22.9%","18.8%","41.7%","16.7%"
"Justin Fields","NYJ","32","40.6%","28.1%","12.5%","25.0%","34.4%"
"Daniel Jones","IND","29","37.9%","17.2%","20.7%","31.0%","31.0%"
"Kyler Murray","ARI","30","36.7%","20.0%","16.7%","56.7%","6.7%"
"Sam Darnold","SEA","44","36.4%","13.6%","22.7%","22.7%","40.9%"
"Jacoby Brissett","ARI","25","36.0%","16.0%","20.0%","16.0%","48.0%"
"Tua Tagovailoa","MIA","42","35.7%","14.3%","21.4%","40.5%","23.8%"
"Derek Carr","NO","27","33.3%","18.5%","14.8%","44.4%","22.2%"
"Joshua Dobbs","NE","19","31.6%","21.1%","10.5%","26.3%","42.1%"
"Russell Wilson","NYG","32","31.3%","12.5%","18.8%","50.0%","18.8%"
"Joe Flacco","CLE","26","30.8%","19.2%","11.5%","38.5%","30.8%"
"Deshaun Watson","CLE","13","30.8%","7.7%","23.1%","38.5%","30.8%"
"Kirk Cousins","ATL","33","30.3%","18.2%","12.1%","42.4%","27.3%"
"Nick Mullens","JAX","10","30.0%","10.0%","20.0%","0.0%","70.0%"
"J.J. McCarthy","MIN","10","30.0%","0.0%","30.0%","20.0%","50.0%"
"Geno Smith","LV","47","29.8%","17.0%","12.8%","42.6%","27.7%"
"Marcus Mariota","WAS","17","29.4%","11.8%","17.6%","29.4%","41.2%"
"Anthony Richardson Sr.","IND","17","29.4%","23.5%","5.9%","35.3%","35.3%"
"Michael Penix Jr.","ATL","14","28.6%","7.1%","21.4%","21.4%","50.0%"
"C.J. Stroud","HOU","46","28.3%","10.9%","17.4%","45.7%","26.1%"
"Aaron Rodgers","PIT","33","27.3%","3.0%","24.2%","57.6%","15.2%"
"Jimmy Garoppolo","LAR","11","27.3%","0.0%","27.3%","18.2%","54.5%"
"Tyrod Taylor","NYJ","19","26.3%","0.0%","26.3%","15.8%","57.9%"
"Jameis Winston","NYG","22","22.7%","18.2%","4.5%","22.7%","54.5%"
"Bryce Young","CAR","46","21.7%","8.7%","13.0%","41.3%","37.0%"
