"Name","Team","GP","Top 24","RB1","RB2","RB3","RB4+"
"Christian McCaffrey","SF","37","91.9%","70.3%","21.6%","8.1%","0.0%"
"Cam Skattebo","NYG","8","87.5%","37.5%","50.0%","0.0%","12.5%"
"Jonathan Taylor","IND","41","80.5%","46.3%","34.1%","14.6%","4.9%"
"Kyren Williams","LAR","45","80.0%","53.3%","26.7%","20.0%","0.0%"
"Derrick Henry","BAL","51","78.4%","56.9%","21.6%","7.8%","15.7%"
"Bijan Robinson","ATL","51","78.4%","54.9%","23.5%","13.7%","7.8%"
"Darrell Henderson Jr.","LAR","4","75.0%","0.0%","75.0%","0.0%","25.0%"
"De'Von Achane","MIA","44","75.0%","50.0%","25.0%","11.4%","15.9%"
"Saquon Barkley","PHI","46","73.9%","52.2%","21.7%","17.4%","10.9%"
"Jahmyr Gibbs","DET","49","73.5%","49.0%","24.5%","20.4%","8.2%"
"Josh Jacobs","GB","45","73.3%","44.4%","28.9%","13.3%","13.3%"
"Alvin Kamara","NO","38","71.1%","26.3%","44.7%","10.5%","18.4%"
"Bucky Irving","TB","27","66.7%","29.6%","37.0%","14.8%","22.2%"
"Omarion Hampton","LAC","9","66.7%","33.3%","33.3%","22.2%","22.2%"
"James Cook III","BUF","50","66.0%","50.0%","16.0%","20.0%","14.0%"
"Joe Mixon","HOU","31","64.5%","45.2%","19.4%","29.0%","9.7%"
"David Montgomery","DET","45","64.4%","24.4%","40.0%","22.2%","22.2%"
"James Conner","ARI","32","62.5%","40.6%","21.9%","21.9%","21.9%"
"J.K. Dobbins","DEN","24","62.5%","29.2%","33.3%","29.2%","12.5%"
"Ashton Jeanty","LV","17","58.8%","23.5%","35.3%","11.8%","35.3%"
"Travis Etienne Jr.","JAX","49","57.1%","34.7%","22.4%","22.4%","22.4%"
"Breece Hall","NYJ","49","57.1%","36.7%","20.4%","22.4%","20.4%"
"Chase Brown","CIN","45","55.6%","33.3%","22.2%","17.8%","31.1%"
"D'Andre Swift","CHI","49","53.1%","28.6%","24.5%","26.5%","22.4%"
"Najee Harris","LAC","37","51.4%","21.6%","29.7%","18.9%","29.7%"
"Rhamondre Stevenson","NE","41","51.2%","24.4%","26.8%","12.2%","36.6%"
"Kenneth Walker","SEA","43","51.2%","30.2%","20.9%","27.9%","25.6%"
"Aaron Jones Sr.","MIN","40","50.0%","22.5%","27.5%","35.0%","15.0%"
"Jaylen Warren","PIT","48","50.0%","14.6%","35.4%","25.0%","25.0%"
"Tony Pollard","TEN","50","48.0%","20.0%","28.0%","32.0%","22.0%"
"Chuba Hubbard","CAR","47","46.8%","29.8%","17.0%","25.5%","29.8%"
"Rachaad White","TB","50","46.0%","26.0%","20.0%","18.0%","36.0%"
"Zack Moss","CIN","22","45.5%","22.7%","22.7%","22.7%","36.4%"
"Rico Dowdle","CAR","49","44.9%","20.4%","24.5%","16.3%","42.9%"
"Quinshon Judkins","CLE","14","42.9%","35.7%","7.1%","21.4%","35.7%"
"Bam Knight","ARI","12","41.7%","0.0%","41.7%","16.7%","41.7%"
"Brian Robinson","SF","46","41.3%","15.2%","26.1%","19.6%","39.1%"
"TreVeyon Henderson","NE","17","41.2%","23.5%","17.6%","23.5%","35.3%"
"RJ Harvey","DEN","17","41.2%","35.3%","5.9%","23.5%","35.3%"
"Javonte Williams","DAL","49","40.8%","24.5%","16.3%","36.7%","26.5%"
"Austin Ekeler","WAS","28","39.3%","21.4%","17.9%","32.1%","32.1%"
"Kareem Hunt","KC","45","37.8%","17.8%","20.0%","22.2%","42.2%"
"Raheem Mostert","LV","40","37.5%","17.5%","20.0%","5.0%","57.5%"
"Tyrone Tracy Jr.","NYG","32","37.5%","18.8%","18.8%","28.1%","34.4%"
"Alexander Mattison","LV","30","36.7%","6.7%","30.0%","13.3%","50.0%"
"Isiah Pacheco","KC","34","35.3%","14.7%","20.6%","29.4%","35.3%"
"Jerome Ford","CLE","44","34.1%","13.6%","20.5%","18.2%","47.7%"
"Jerick McKinnon","KC","12","33.3%","8.3%","25.0%","0.0%","66.7%"
"Zach Charbonnet","SEA","49","32.7%","12.2%","20.4%","22.4%","44.9%"
"Gus Edwards","LAC","28","32.1%","14.3%","17.9%","21.4%","50.0%"
"Woody Marks","HOU","16","31.3%","12.5%","18.8%","18.8%","50.0%"
"Kyle Monangai","CHI","17","29.4%","17.6%","11.8%","23.5%","47.1%"
"Devin Singletary","NYG","49","28.6%","12.2%","16.3%","16.3%","59.2%"
"Ezekiel Elliott","DAL","32","28.1%","6.3%","21.9%","12.5%","59.4%"
"Bhayshul Tuten","JAX","15","26.7%","0.0%","26.7%","13.3%","60.0%"
"Kimani Vidal","LAC","23","26.1%","17.4%","8.7%","4.3%","69.6%"
"Salvon Ahmed","MIA","8","25.0%","0.0%","25.0%","0.0%","75.0%"
"Jawhar Jordan","HOU","4","25.0%","25.0%","0.0%","25.0%","50.0%"
"Isaac Guerendo","SF","16","25.0%","18.8%","6.3%","12.5%","62.5%"
"Tyjae Spears","TEN","42","23.8%","11.9%","11.9%","26.2%","50.0%"
"Jacory Croskey-Merritt","WAS","17","23.5%","17.6%","5.9%","17.6%","64.7%"
"AJ Dillon","PHI","22","22.7%","4.5%","18.2%","22.7%","59.1%"
"Jordan Mason","MIN","45","22.2%","8.9%","13.3%","20.0%","60.0%"
"Tyler Allgeier","ATL","51","21.6%","5.9%","15.7%","23.5%","56.9%"
"Roschon Johnson","CHI","29","20.7%","3.4%","17.2%","10.3%","69.0%"
"Ray Davis","BUF","34","20.6%","2.9%","17.6%","8.8%","70.6%"
"Nick Chubb","HOU","25","20.0%","8.0%","12.0%","24.0%","56.0%"
"La'Mical Perine","KC","5","20.0%","0.0%","20.0%","0.0%","80.0%"
"Malik Davis","DAL","10","20.0%","0.0%","20.0%","10.0%","70.0%"
"Jaydon Blue","DAL","5","20.0%","0.0%","20.0%","0.0%","80.0%"
"Justice Hill","BAL","41","19.5%","7.3%","12.2%","19.5%","65.9%"
"Michael Carter","ARI","31","19.4%","3.2%","16.1%","9.7%","74.2%"
"Latavius Murray","BUF","16","18.8%","0.0%","18.8%","12.5%","68.8%"
"Elijah Mitchell","SF","11","18.2%","0.0%","18.2%","0.0%","81.8%"
"Kenny Gainwell","PIT","50","18.0%","12.0%","6.0%","22.0%","62.0%"
"Ollie Gordon II","MIA","17","17.6%","0.0%","17.6%","5.9%","76.5%"
"Emanuel Wilson","GB","41","17.1%","2.4%","14.6%","12.2%","70.7%"
"Damien Harris","BUF","6","16.7%","0.0%","16.7%","0.0%","83.3%"
"Jaret Patterson","LAC","6","16.7%","0.0%","16.7%","0.0%","83.3%"
"Dameon Pierce","HOU","30","16.7%","3.3%","13.3%","6.7%","76.7%"
"Chris Rodriguez Jr.","WAS","36","16.7%","2.8%","13.9%","11.1%","72.2%"
"Ty Johnson","BUF","44","15.9%","4.5%","11.4%","6.8%","77.3%"
"Antonio Gibson","NE","38","15.8%","0.0%","15.8%","31.6%","52.6%"
"Keaton Mitchell","BAL","26","15.4%","3.8%","11.5%","15.4%","73.1%"
"Khalil Herbert","NYJ","33","15.2%","9.1%","6.1%","9.1%","75.8%"
"Audric Estimé","NO","20","15.0%","5.0%","10.0%","5.0%","80.0%"
"Samaje Perine","CIN","49","14.3%","2.0%","12.2%","10.2%","77.6%"
"Royce Freeman","LAR","14","14.3%","0.0%","14.3%","14.3%","71.4%"
"Tony Jones","NO","7","14.3%","0.0%","14.3%","14.3%","71.4%"
"Darrynton Evans","CHI","7","14.3%","0.0%","14.3%","14.3%","71.4%"
"Kendre Miller","NO","21","14.3%","0.0%","14.3%","9.5%","76.2%"
"Cam Akers","MIN","30","13.3%","0.0%","13.3%","23.3%","66.7%"
"Dylan Sampson","CLE","15","13.3%","6.7%","6.7%","13.3%","80.0%"
"Ameer Abdullah","IND","46","13.0%","6.5%","6.5%","4.3%","82.6%"
"Miles Sanders","DAL","31","12.9%","6.5%","6.5%","25.8%","67.7%"
"Zamir White","LV","31","12.9%","3.2%","9.7%","0.0%","87.1%"
"Emari Demercado","ARI","40","12.5%","0.0%","12.5%","17.5%","70.0%"
"Isaiah Davis","NYJ","33","12.1%","0.0%","12.1%","3.0%","84.8%"
"Tank Bigsby","JAX","50","12.0%","6.0%","6.0%","12.0%","76.0%"
"Matt Breida","NYG","17","11.8%","0.0%","11.8%","0.0%","88.2%"
"Joshua Kelley","LAC","17","11.8%","5.9%","5.9%","11.8%","76.5%"
"Blake Corum","LAR","34","11.8%","2.9%","8.8%","8.8%","79.4%"
"Trey Benson","ARI","17","11.8%","0.0%","11.8%","17.6%","76.5%"
"Sean Tucker","TB","45","11.1%","4.4%","6.7%","4.4%","84.4%"
"Clyde Edwards-Helaire","KC","19","10.5%","5.3%","5.3%","5.3%","84.2%"
"D'Onta Foreman","CLE","20","10.0%","5.0%","5.0%","30.0%","65.0%"
"Terrell Jennings","NE","10","10.0%","0.0%","10.0%","0.0%","90.0%"
"Braelon Allen","NYJ","21","9.5%","4.8%","4.8%","14.3%","76.2%"
"Devin Neal","NO","11","9.1%","0.0%","9.1%","18.2%","72.7%"
"Jeremy McNichols","WAS","34","8.8%","2.9%","5.9%","8.8%","82.4%"
"Jaylen Wright","MIA","25","8.0%","4.0%","4.0%","4.0%","88.0%"
"Jaleel McLaughlin","DEN","41","7.3%","4.9%","2.4%","24.4%","68.3%"
"JaMycal Hasty","NE","15","6.7%","0.0%","6.7%","0.0%","93.3%"
"Zavier Scott","MIN","16","6.3%","0.0%","6.3%","0.0%","93.8%"
"Tyler Goodson","IND","33","6.1%","0.0%","6.1%","9.1%","84.8%"
"Kyle Juszczyk","SF","51","5.9%","0.0%","5.9%","7.8%","86.3%"
"Brashard Smith","KC","17","5.9%","0.0%","5.9%","11.8%","82.4%"
"Ty Chandler","MIN","37","5.4%","2.7%","2.7%","10.8%","83.8%"
"Dare Ogunbowale","HOU","46","4.3%","0.0%","4.3%","0.0%","95.7%"
"Patrick Taylor Jr.","SF","24","4.2%","4.2%","0.0%","4.2%","91.7%"
"Jamaal Williams","NO","27","3.7%","0.0%","3.7%","7.4%","88.9%"
"Trey Sermon","IND","31","3.2%","3.2%","0.0%","6.5%","90.3%"
"Craig Reynolds","DET","34","2.9%","0.0%","2.9%","8.8%","91.2%"
"Ronnie Rivers","LAR","37","2.7%","0.0%","2.7%","2.7%","94.6%"
"Hunter Luepke","DAL","50","2.0%","0.0%","2.0%","2.0%","96.0%"
"Cordarrelle Patterson","PIT","27","0.0%","0.0%","0.0%","11.1%","92.6%"
"Keith Smith","ATL","13","0.0%","0.0%","0.0%","0.0%","100.0%"
"Melvin Gordon III","BAL","4","0.0%","0.0%","0.0%","25.0%","75.0%"
"Michael Burton","DEN","34","0.0%","0.0%","0.0%","2.9%","97.1%"
"C.J. Ham","MIN","45","0.0%","0.0%","0.0%","4.4%","95.6%"
"Dalvin Cook","DAL","17","0.0%","0.0%","0.0%","5.9%","94.1%"
"Alex Armah","WAS","8","0.0%","0.0%","0.0%","0.0%","100.0%"
"Patrick Ricard","BAL","45","0.0%","0.0%","0.0%","0.0%","100.0%"
"Chase Edmonds","TB","13","0.0%","0.0%","0.0%","15.4%","92.3%"
"Nick Bawden","NYJ","16","0.0%","0.0%","0.0%","6.3%","100.0%"
"Boston Scott","PHI","15","0.0%","0.0%","0.0%","0.0%","100.0%"
"Jason Cabinda","DET","4","0.0%","0.0%","0.0%","0.0%","100.0%"
"Mike Boone","CAR","15","0.0%","0.0%","0.0%","0.0%","100.0%"
"Jeff Wilson Jr.","MIA","22","0.0%","0.0%","0.0%","9.1%","90.9%"
"Travis Homer","CHI","10","0.0%","0.0%","0.0%","0.0%","100.0%"
"Alec Ingold","MIA","49","0.0%","0.0%","0.0%","0.0%","100.0%"
"Trayveon Williams","LAC","24","0.0%","0.0%","0.0%","0.0%","100.0%"
"Jakob Johnson","HOU","23","0.0%","0.0%","0.0%","0.0%","100.0%"
"Andrew Beck","NYJ","36","0.0%","0.0%","0.0%","8.3%","91.7%"
"Khari Blasingame","CHI","21","0.0%","0.0%","0.0%","0.0%","100.0%"
"D'Ernest Johnson","ARI","39","0.0%","0.0%","0.0%","7.7%","94.9%"
"Derrick Gore","WAS","6","0.0%","0.0%","0.0%","0.0%","100.0%"
"Ke'Shawn Vaughn","TB","6","0.0%","0.0%","0.0%","0.0%","100.0%"
"DeeJay Dallas","CAR","40","0.0%","0.0%","0.0%","0.0%","100.0%"
"J.J. Taylor","HOU","5","0.0%","0.0%","0.0%","0.0%","100.0%"
"Reggie Gilliam","BUF","49","0.0%","0.0%","0.0%","0.0%","100.0%"
"Keaontay Ingram","ARI","8","0.0%","0.0%","0.0%","12.5%","87.5%"
"Chris Evans","CIN","8","0.0%","0.0%","0.0%","0.0%","100.0%"
"Gary Brightwell","NYG","7","0.0%","0.0%","0.0%","0.0%","100.0%"
"Deon Jackson","IND","4","0.0%","0.0%","0.0%","0.0%","100.0%"
"Kene Nwangwu","NYJ","21","0.0%","0.0%","0.0%","0.0%","100.0%"
"Jake Funk","IND","4","0.0%","0.0%","0.0%","0.0%","100.0%"
"Adam Prentice","DEN","47","0.0%","0.0%","0.0%","0.0%","100.0%"
"Zach Evans","LAR","10","0.0%","0.0%","0.0%","0.0%","100.0%"
"Chris Brooks","GB","41","0.0%","0.0%","0.0%","7.3%","92.7%"
"Eric Gray","NYG","30","0.0%","0.0%","0.0%","0.0%","100.0%"
"George Holani","SEA","11","0.0%","0.0%","0.0%","9.1%","90.9%"
"Isaiah Spiller","LAC","9","0.0%","0.0%","0.0%","0.0%","100.0%"
"Sincere McCormick","LV","5","0.0%","0.0%","0.0%","40.0%","60.0%"
"Pierre Strong Jr.","CLE","31","0.0%","0.0%","0.0%","12.9%","87.1%"
"Tyler Badie","DEN","19","0.0%","0.0%","0.0%","0.0%","100.0%"
"Hassan Haskins","LAC","29","0.0%","0.0%","0.0%","10.3%","89.7%"
"Raheem Blackshear","CAR","28","0.0%","0.0%","0.0%","0.0%","100.0%"
"Jashaun Corbin","NYG","6","0.0%","0.0%","0.0%","0.0%","100.0%"
"Kevin Harris","NE","4","0.0%","0.0%","0.0%","50.0%","50.0%"
"Julius Chestnut","TEN","34","0.0%","0.0%","0.0%","0.0%","100.0%"
"Israel Abanikanda","NYJ","7","0.0%","0.0%","0.0%","0.0%","100.0%"
"Deuce Vaughn","DAL","15","0.0%","0.0%","0.0%","0.0%","100.0%"
"Evan Hull","NO","8","0.0%","0.0%","0.0%","0.0%","100.0%"
"Jordan Mims","NO","11","0.0%","0.0%","0.0%","0.0%","100.0%"
"Kenny McIntosh","SEA","17","0.0%","0.0%","0.0%","5.9%","94.1%"
"Scott Matlock","LAC","28","0.0%","0.0%","0.0%","3.6%","96.4%"
"Elijah Dotson","LAC","4","0.0%","0.0%","0.0%","0.0%","100.0%"
"Brady Russell","SEA","17","0.0%","0.0%","0.0%","0.0%","100.0%"
"Sione Vaki","DET","16","0.0%","0.0%","0.0%","0.0%","100.0%"
"Carson Steele","KC","17","0.0%","0.0%","0.0%","5.9%","94.1%"
"Rasheen Ali","BAL","21","0.0%","0.0%","0.0%","4.8%","95.2%"
"Chris Collier","BAL","8","0.0%","0.0%","0.0%","0.0%","100.0%"
"Dylan Laube","LV","17","0.0%","0.0%","0.0%","0.0%","100.0%"
"Will Shipley","PHI","31","0.0%","0.0%","0.0%","3.2%","96.8%"
"Jack Westover","NE","17","0.0%","0.0%","0.0%","0.0%","100.0%"
"British Brooks","HOU","15","0.0%","0.0%","0.0%","6.7%","93.3%"
"DJ Giddens","IND","10","0.0%","0.0%","0.0%","0.0%","100.0%"
"Trevor Etienne","CAR","17","0.0%","0.0%","0.0%","0.0%","100.0%"
"Tahj Brooks","CIN","16","0.0%","0.0%","0.0%","0.0%","100.0%"
"Corey Kiner","ARI","4","0.0%","0.0%","0.0%","0.0%","100.0%"
"LeQuint Allen Jr.","JAX","17","0.0%","0.0%","0.0%","0.0%","100.0%"
"Kaleb Johnson","PIT","10","0.0%","0.0%","0.0%","0.0%","100.0%"
"Raheim Sanders","CLE","4","0.0%","0.0%","0.0%","25.0%","75.0%"
"Robbie Ouzts","SEA","12","0.0%","0.0%","0.0%","0.0%","100.0%"
"Nathan Carter","ATL","7","0.0%","0.0%","0.0%","0.0%","100.0%"
