"Name","Team","GP","Top 24","WR1","WR2","WR3","WR4+"
"Puka Nacua","LAR","44","72.7%","47.7%","25.0%","9.1%","22.7%"
"CeeDee Lamb","DAL","46","71.7%","41.3%","30.4%","6.5%","21.7%"
"Amon-Ra St. Brown","DET","50","70.0%","42.0%","28.0%","14.0%","18.0%"
"Ja'Marr Chase","CIN","49","59.2%","49.0%","10.2%","16.3%","24.5%"
"A.J. Brown","PHI","45","53.3%","40.0%","13.3%","17.8%","35.6%"
"Justin Jefferson","MIN","44","52.3%","36.4%","15.9%","20.5%","27.3%"
"Tyreek Hill","MIA","37","51.4%","32.4%","18.9%","21.6%","29.7%"
"Mike Evans","TB","39","51.3%","33.3%","17.9%","15.4%","33.3%"
"Davante Adams","LAR","45","51.1%","31.1%","20.0%","15.6%","33.3%"
"Terry McLaurin","WAS","44","50.0%","22.7%","27.3%","13.6%","36.4%"
"DeVonta Smith","PHI","46","50.0%","17.4%","32.6%","6.5%","43.5%"
"Rashee Rice","KC","28","50.0%","28.6%","21.4%","17.9%","35.7%"
"Ladd McConkey","LAC","32","50.0%","21.9%","28.1%","9.4%","43.8%"
"Jaxon Smith-Njigba","SEA","51","49.0%","33.3%","15.7%","9.8%","41.2%"
"Nico Collins","HOU","42","47.6%","38.1%","9.5%","23.8%","28.6%"
"Chris Olave","NO","40","47.5%","25.0%","22.5%","27.5%","25.0%"
"Garrett Wilson","NYJ","41","46.3%","17.1%","29.3%","14.6%","39.0%"
"Courtland Sutton","DEN","50","44.0%","16.0%","28.0%","20.0%","36.0%"
"Tee Higgins","CIN","39","43.6%","28.2%","15.4%","17.9%","41.0%"
"Brandon Aiyuk","SF","23","43.5%","21.7%","21.7%","13.0%","47.8%"
"Stefon Diggs","NE","42","42.9%","23.8%","19.0%","16.7%","40.5%"
"Michael Pittman Jr.","IND","49","42.9%","20.4%","22.4%","12.2%","44.9%"
"Brian Thomas Jr.","JAX","31","41.9%","22.6%","19.4%","19.4%","45.2%"
"George Pickens","DAL","48","41.7%","22.9%","18.8%","10.4%","47.9%"
"DK Metcalf","PIT","46","41.3%","19.6%","21.7%","17.4%","41.3%"
"Tetairoa McMillan","CAR","17","41.2%","11.8%","29.4%","29.4%","35.3%"
"Jameson Williams","DET","44","40.9%","20.5%","20.5%","13.6%","47.7%"
"Diontae Johnson","CAR","25","40.0%","16.0%","24.0%","4.0%","56.0%"
"Drake London","ATL","45","40.0%","24.4%","15.6%","17.8%","44.4%"
"Deebo Samuel Sr.","WAS","46","39.1%","26.1%","13.0%","13.0%","52.2%"
"Marvin Harrison Jr.","ARI","29","37.9%","10.3%","27.6%","10.3%","51.7%"
"Tory Horton","SEA","8","37.5%","25.0%","12.5%","12.5%","50.0%"
"Jordan Addison","MIN","46","37.0%","13.0%","23.9%","19.6%","43.5%"
"Malik Nabers","NYG","19","36.8%","31.6%","5.3%","42.1%","21.1%"
"Zay Flowers","BAL","50","36.0%","20.0%","16.0%","26.0%","38.0%"
"Tank Dell","HOU","25","36.0%","24.0%","12.0%","8.0%","56.0%"
"Keenan Allen","LAC","45","35.6%","24.4%","11.1%","13.3%","53.3%"
"Jalen McMillan","TB","17","35.3%","17.6%","17.6%","5.9%","58.8%"
"Jakobi Meyers","LV","47","34.0%","21.3%","12.8%","21.3%","44.7%"
"Chris Godwin Jr.","TB","33","33.3%","18.2%","15.2%","21.2%","45.5%"
"Jaylen Waddle","MIA","45","33.3%","13.3%","20.0%","15.6%","53.3%"
"Cooper Kupp","SEA","40","32.5%","17.5%","15.0%","10.0%","57.5%"
"Rome Odunze","CHI","29","31.0%","13.8%","17.2%","3.4%","65.5%"
"Jauan Jennings","SF","43","30.2%","9.3%","20.9%","7.0%","62.8%"
"Jayden Reed","GB","40","30.0%","17.5%","12.5%","22.5%","57.5%"
"Ricky Pearsall","SF","20","30.0%","15.0%","15.0%","5.0%","65.0%"
"Christian Watson","GB","34","29.4%","17.6%","11.8%","14.7%","58.8%"
"Jayden Higgins","HOU","17","29.4%","5.9%","23.5%","17.6%","52.9%"
"Calvin Ridley","TEN","41","29.3%","24.4%","4.9%","12.2%","58.5%"
"Rashid Shaheed","NO","39","28.2%","12.8%","15.4%","12.8%","59.0%"
"Amari Cooper","CLE","29","27.6%","13.8%","13.8%","17.2%","55.2%"
"DJ Moore","CHI","51","27.5%","27.5%","0.0%","23.5%","51.0%"
"Jalen Coker","CAR","22","27.3%","9.1%","18.2%","4.5%","68.2%"
"Alec Pierce","IND","48","27.1%","16.7%","10.4%","6.3%","66.7%"
"Romeo Doubs","GB","46","26.1%","6.5%","19.6%","19.6%","56.5%"
"Josh Downs","IND","47","25.5%","6.4%","19.1%","14.9%","59.6%"
"Khalil Shakir","BUF","48","25.0%","10.4%","14.6%","18.8%","56.3%"
"Gabe Davis","BUF","33","24.2%","15.2%","9.1%","6.1%","69.7%"
"Quentin Johnston","LAC","46","23.9%","13.0%","10.9%","19.6%","56.5%"
"Kayshon Boutte","NE","34","23.5%","14.7%","8.8%","0.0%","76.5%"
"Chimere Dike","TEN","17","23.5%","5.9%","17.6%","11.8%","64.7%"
"Emeka Egbuka","TB","17","23.5%","23.5%","0.0%","17.6%","58.8%"
"Adam Thielen","MIN","43","23.3%","11.6%","11.6%","9.3%","67.4%"
"Wan'Dale Robinson","NYG","48","22.9%","10.4%","12.5%","18.8%","60.4%"
"Xavier Worthy","KC","31","22.6%","6.5%","16.1%","16.1%","61.3%"
"DeAndre Hopkins","BAL","50","22.0%","8.0%","14.0%","12.0%","66.0%"
"Brandin Cooks","NO","41","22.0%","2.4%","19.5%","2.4%","78.0%"
"Hollywood Brown","KC","32","21.9%","3.1%","18.8%","15.6%","62.5%"
"Michael Wilson","ARI","46","21.7%","13.0%","8.7%","8.7%","69.6%"
"Parker Washington","JAX","42","21.4%","11.9%","9.5%","4.8%","76.2%"
"Christian Kirk","HOU","33","21.2%","3.0%","18.2%","15.2%","63.6%"
"Darnell Mooney","ATL","46","19.6%","4.3%","15.2%","8.7%","76.1%"
"Tez Johnson","TB","16","18.8%","6.3%","12.5%","6.3%","75.0%"
