"Name","Team","GP","Top 12","TE 1-6","TE 7-12","TE2","TE3+"
"George Kittle","SF","42","69.0%","54.8%","14.3%","7.1%","23.8%"
"Brock Bowers","LV","29","62.1%","44.8%","17.2%","34.5%","3.4%"
"Trey McBride","ARI","50","62.0%","48.0%","14.0%","20.0%","18.0%"
"Sam LaPorta","DET","42","57.1%","40.5%","16.7%","21.4%","21.4%"
"Travis Kelce","KC","48","52.1%","33.3%","18.8%","29.2%","18.8%"
"David Njoku","CLE","39","51.3%","20.5%","30.8%","23.1%","25.6%"
"Mark Andrews","BAL","44","50.0%","25.0%","25.0%","13.6%","36.4%"
"Tyler Warren","IND","17","47.1%","29.4%","17.6%","35.3%","17.6%"
"Jake Ferguson","DAL","48","43.8%","20.8%","22.9%","22.9%","33.3%"
"Harold Fannin Jr.","CLE","16","43.8%","18.8%","25.0%","37.5%","18.8%"
"Dallas Goedert","PHI","39","38.5%","20.5%","17.9%","33.3%","28.2%"
"Zach Ertz","WAS","37","37.8%","13.5%","24.3%","37.8%","24.3%"
"Donald Parham Jr.","LAC","14","35.7%","21.4%","14.3%","0.0%","64.3%"
"Kyle Pitts Sr.","ATL","51","35.3%","17.6%","17.6%","29.4%","35.3%"
"Dalton Schultz","HOU","49","34.7%","14.3%","20.4%","26.5%","38.8%"
"Dalton Kincaid","BUF","41","34.1%","19.5%","14.6%","31.7%","34.1%"
"Hunter Henry","NE","47","34.0%","19.1%","14.9%","25.5%","40.4%"
"Juwan Johnson","NO","47","34.0%","14.9%","19.1%","25.5%","40.4%"
"Evan Engram","DEN","42","33.3%","11.9%","21.4%","40.5%","26.2%"
"Colston Loveland","CHI","16","31.3%","25.0%","6.3%","31.3%","37.5%"
"T.J. Hockenson","MIN","40","30.0%","22.5%","7.5%","42.5%","27.5%"
"Taysom Hill","NO","37","29.7%","21.6%","8.1%","16.2%","54.1%"
"Jonnu Smith","PIT","51","29.4%","19.6%","9.8%","21.6%","49.0%"
"AJ Barner","SEA","34","29.4%","11.8%","17.6%","11.8%","58.8%"
"Darren Waller","MIA","21","28.6%","23.8%","4.8%","38.1%","33.3%"
"Tyler Higbee","LAR","28","28.6%","7.1%","21.4%","25.0%","46.4%"
"Cole Kmet","CHI","50","28.0%","10.0%","18.0%","22.0%","50.0%"
"Tucker Kraft","GB","42","26.2%","14.3%","11.9%","35.7%","38.1%"
"Pat Freiermuth","PIT","46","26.1%","15.2%","10.9%","30.4%","43.5%"
"Theo Johnson","NYG","27","25.9%","3.7%","22.2%","29.6%","44.4%"
"Logan Thomas","WAS","16","25.0%","12.5%","12.5%","37.5%","37.5%"
"Brenton Strange","JAX","43","23.3%","11.6%","11.6%","14.0%","62.8%"
"Isaiah Likely","BAL","47","21.3%","10.6%","10.6%","19.1%","59.6%"
"Colby Parkinson","LAR","49","20.4%","6.1%","14.3%","14.3%","65.3%"
"Oronde Gadsden","LAC","15","20.0%","13.3%","6.7%","33.3%","46.7%"
"Chig Okonkwo","TEN","51","19.6%","9.8%","9.8%","29.4%","51.0%"
"Cade Otton","TB","47","19.1%","12.8%","6.4%","38.3%","42.6%"
"Brevin Jordan","HOU","16","18.8%","0.0%","18.8%","0.0%","81.3%"
"Gunnar Helm","TEN","16","18.8%","0.0%","18.8%","18.8%","62.5%"
"Michael Mayer","LV","38","15.8%","7.9%","7.9%","10.5%","73.7%"
"Mason Taylor","NYJ","13","15.4%","0.0%","15.4%","23.1%","61.5%"
"Ja'Tavion Sanders","CAR","29","13.8%","0.0%","13.8%","13.8%","72.4%"
"Tyler Conklin","LAC","46","13.0%","6.5%","6.5%","32.6%","54.3%"
"Mike Gesicki","CIN","47","12.8%","6.4%","6.4%","31.9%","55.3%"
"Luke Musgrave","GB","35","11.4%","0.0%","11.4%","14.3%","74.3%"
"Dawson Knox","BUF","45","11.1%","2.2%","8.9%","20.0%","68.9%"
"Noah Fant","CIN","46","10.9%","4.3%","6.5%","21.7%","67.4%"
"Will Dissly","LAC","40","10.0%","5.0%","5.0%","10.0%","80.0%"
"Noah Gray","KC","50","10.0%","4.0%","6.0%","16.0%","74.0%"
"Gerald Everett","CHI","32","9.4%","3.1%","6.3%","21.9%","68.8%"
"Lawrence Cager","NYG","11","9.1%","0.0%","9.1%","0.0%","90.9%"
"Jake Tonges","SF","33","9.1%","6.1%","3.0%","9.1%","81.8%"
"Josh Oliver","MIN","47","8.5%","6.4%","2.1%","14.9%","76.6%"
"Josh Whyle","GB","36","8.3%","2.8%","5.6%","8.3%","83.3%"
"Austin Hooper","NE","50","8.0%","2.0%","6.0%","20.0%","72.0%"
"Tanner Hudson","CIN","38","7.9%","2.6%","5.3%","21.1%","71.1%"
"Adam Trautman","DEN","51","7.8%","2.0%","5.9%","9.8%","82.4%"
"Luke Schoonmaker","DAL","51","7.8%","2.0%","5.9%","2.0%","90.2%"
"Terrance Ferguson","LAR","14","7.1%","0.0%","7.1%","21.4%","71.4%"
"Foster Moreau","NO","43","7.0%","4.7%","2.3%","23.3%","69.8%"
"Drew Ogletree","IND","44","6.8%","2.3%","4.5%","2.3%","90.9%"
"Tommy Tremble","CAR","45","6.7%","2.2%","4.4%","24.4%","68.9%"
"Charlie Kolar","BAL","45","6.7%","2.2%","4.4%","2.2%","91.1%"
"Elijah Higgins","ARI","45","6.7%","2.2%","4.4%","6.7%","86.7%"
"Grant Calcaterra","PHI","47","6.4%","0.0%","6.4%","4.3%","89.4%"
"Kylen Granson","PHI","49","6.1%","0.0%","6.1%","10.2%","83.7%"
"Johnny Mundt","JAX","50","6.0%","2.0%","4.0%","2.0%","92.0%"
"Daniel Bellinger","NYG","50","6.0%","2.0%","4.0%","14.0%","80.0%"
"Blake Bell","KC","17","5.9%","5.9%","0.0%","0.0%","94.1%"
"Mo Alie-Cox","IND","51","5.9%","0.0%","5.9%","7.8%","86.3%"
"Jordan Akins","CLE","34","5.9%","2.9%","2.9%","14.7%","79.4%"
"Drew Sample","CIN","51","5.9%","0.0%","5.9%","3.9%","90.2%"
"Mitchell Evans","CAR","17","5.9%","0.0%","5.9%","5.9%","88.2%"
"Jackson Hawes","BUF","17","5.9%","0.0%","5.9%","11.8%","82.4%"
"Nick Vannett","MIN","35","5.7%","0.0%","5.7%","2.9%","91.4%"
"Hayden Hurst","LAC","18","5.6%","5.6%","0.0%","16.7%","77.8%"
"Harrison Bryant","HOU","42","4.8%","4.8%","0.0%","2.4%","92.9%"
"Brock Wright","DET","42","4.8%","2.4%","2.4%","11.9%","83.3%"
"Greg Dulcich","MIA","21","4.8%","4.8%","0.0%","14.3%","81.0%"
"Lucas Krull","DEN","23","4.3%","0.0%","4.3%","4.3%","91.3%"
"Cade Stover","HOU","24","4.2%","0.0%","4.2%","0.0%","95.8%"
"Darnell Washington","PIT","50","4.0%","0.0%","4.0%","14.0%","82.0%"
"Luke Farrell","SF","51","3.9%","0.0%","3.9%","2.0%","94.1%"
"Blake Whiteheart","CLE","28","3.6%","0.0%","3.6%","0.0%","96.4%"
