"Name","Team","Games Played","RB PTS%","ATT%","YD%","TD%","TGT%","REC%","YD%","TD%"
"Jonathan Taylor","IND","17","89.5","86.6","89.8","94.7","10.4","12.8","9.3","8.0"
"Ashton Jeanty","LV","17","87.1","86.6","87.1","100.0","14.8","16.2","10.4","25.0"
"Saquon Barkley","PHI","16","80.3","80.7","75.2","87.5","11.6","12.5","8.4","8.0"
"Christian McCaffrey","SF","17","78.5","76.8","75.2","83.3","23.5","25.7","21.4","21.2"
"Omarion Hampton","LAC","9","77.4","67.4","73.6","100.0","12.3","16.4","8.9","7.7"
"Chase Brown","CIN","17","77.3","69.5","70.4","66.7","14.5","16.8","10.3","13.9"
"Josh Jacobs","GB","15","75.0","73.4","71.6","92.9","10.5","11.8","7.9","4.0"
"Bijan Robinson","ATL","17","74.6","65.4","72.0","46.7","19.8","23.8","22.1","21.1"
"De'Von Achane","MIA","16","74.3","66.5","74.4","61.5","19.4","22.0","15.3","18.2"
"Cam Skattebo","NYG","8","71.4","58.0","62.8","83.3","13.1","15.9","11.7","18.2"
"Derrick Henry","BAL","17","70.0","78.3","77.6","84.2","5.2","5.4","4.6","0.0"
"Javonte Williams","DAL","16","69.6","70.0","71.0","78.6","8.7","8.6","3.0","6.5"
"Travis Etienne Jr.","JAX","17","69.4","69.7","71.8","58.3","9.5","10.5","7.3","20.7"
"Jahmyr Gibbs","DET","17","68.1","59.7","62.5","61.9","17.1","19.5","13.5","14.3"
"Breece Hall","NYJ","16","67.2","77.1","74.8","66.7","10.7","12.6","12.9","7.1"
"James Cook III","BUF","17","67.0","73.7","77.2","80.0","8.4","9.6","7.3","6.9"
"Kyren Williams","LAR","17","66.4","62.7","61.3","62.5","8.6","9.3","6.0","6.5"
"Tony Pollard","TEN","17","65.5","73.8","76.6","71.4","7.8","9.7","6.4","0.0"
"D'Andre Swift","CHI","16","64.6","60.4","63.6","64.3","9.6","10.9","8.1","4.2"
"Quinshon Judkins","CLE","14","63.4","78.0","79.4","100.0","8.3","9.8","6.7","0.0"
"Alvin Kamara","NO","11","63.1","67.2","65.0","50.0","10.7","13.1","7.7","0.0"
"Bucky Irving","TB","10","62.8","69.8","65.4","20.0","11.3","15.0","12.7","20.0"
"Rico Dowdle","CAR","17","62.7","60.4","64.0","85.7","10.4","11.9","9.0","4.2"
"James Conner","ARI","3","58.3","58.2","43.2","100.0","10.2","13.3","7.0","25.0"
"Aaron Jones Sr.","MIN","12","57.8","55.9","54.3","40.0","13.8","15.6","10.8","8.3"
"Jaylen Warren","PIT","16","55.6","64.3","66.4","66.7","9.0","11.6","9.7","8.0"
"Woody Marks","HOU","16","52.5","52.0","48.5","42.9","6.9","7.0","5.5","13.0"
