"Name","Team","Games Played","WR PTS%","TGT%","REC%","YD%","TD%"
"Drake London","ATL","12","72.7","30.4","29.7","35.9","53.8"
"Garrett Wilson","NYJ","7","67.3","33.7","30.3","35.7","50.0"
"Jakobie Keeney-James","GB","1","65.8","20.0","33.3","44.1","0.0"
"Jaxon Smith-Njigba","SEA","17","59.5","35.8","36.6","44.1","40.0"
"Zay Flowers","BAL","17","58.7","29.0","30.9","36.9","21.7"
"DK Metcalf","PIT","15","56.4","22.6","19.0","26.8","24.0"
"Puka Nacua","LAR","16","54.4","30.3","35.1","37.9","24.4"
"Chris Olave","NO","16","52.3","30.2","27.4","31.4","50.0"
"Rashee Rice","KC","8","51.3","28.8","29.6","27.1","45.5"
"A.J. Brown","PHI","15","51.1","29.5","27.7","32.6","33.3"
"Wan'Dale Robinson","NYG","16","50.2","29.6","30.7","29.5","22.2"
"Ja'Marr Chase","CIN","16","50.2","32.3","32.0","35.1","22.9"
"Jaylen Waddle","MIA","16","48.8","22.8","21.0","28.5","27.3"
"Michael Wilson","ARI","17","47.7","20.4","18.3","23.1","24.1"
"Jauan Jennings","SF","15","46.3","19.4","16.3","17.4","30.0"
"Tre Tucker","LV","17","46.3","18.6","16.8","21.0","25.0"
"Malik Nabers","NYG","4","46.1","28.2","22.8","30.2","50.0"
"Amon-Ra St. Brown","DET","17","46.1","31.3","29.7","30.7","31.4"
"Nico Collins","HOU","15","45.8","24.6","22.4","32.5","28.6"
"Tetairoa McMillan","CAR","17","45.0","25.4","21.3","30.7","29.2"
"Marvin Harrison Jr.","ARI","12","44.0","18.0","15.1","21.7","21.1"
"Justin Jefferson","MIN","17","43.1","30.1","28.2","32.7","11.1"
"Tyreek Hill","MIA","4","40.7","23.8","25.0","33.8","14.3"
"George Pickens","DAL","17","39.8","22.6","22.2","30.2","29.0"
"Christian Watson","GB","10","39.8","19.9","17.8","26.6","40.0"
"DeVonta Smith","PHI","17","39.7","24.3","24.2","28.8","15.4"
"Jerry Jeudy","CLE","17","39.6","20.3","15.5","19.1","12.5"
"Alec Pierce","IND","15","39.5","18.0","14.9","27.8","27.3"
"Terry McLaurin","WAS","10","39.0","23.3","22.5","30.1","33.3"
"Ricky Pearsall","SF","9","38.4","18.4","17.5","22.9","0.0"
"Deebo Samuel Sr.","WAS","16","38.4","24.7","26.6","23.4","27.8"
"Rome Odunze","CHI","12","37.9","23.8","19.0","24.0","35.3"
"Theo Wease Jr.","MIA","3","37.7","13.5","12.2","24.2","33.3"
"Courtland Sutton","DEN","17","37.6","21.3","19.1","25.9","28.0"
"Khalil Shakir","BUF","16","37.1","21.1","22.4","19.3","16.0"
"Davante Adams","LAR","14","36.8","24.8","19.2","21.2","37.8"
"Tee Higgins","CIN","15","36.1","18.6","16.3","22.6","32.4"
"Jordan Addison","MIN","14","35.3","19.6","16.3","22.6","21.4"
"Michael Pittman Jr.","IND","17","34.6","21.0","22.3","19.2","28.0"
"Stefon Diggs","NE","17","34.5","21.2","23.6","22.7","12.9"
"Parker Washington","JAX","16","34.5","18.4","17.8","22.4","18.5"
"Emeka Egbuka","TB","17","34.0","23.6","18.0","25.0","24.0"
"CeeDee Lamb","DAL","14","33.8","23.1","21.7","27.5","14.3"
"Quentin Johnston","LAC","14","33.3","19.2","17.1","22.0","34.8"
"Jameson Williams","DET","17","32.8","18.5","16.5","24.5","20.0"
"Jakobi Meyers","LV","16","32.2","22.8","23.4","21.9","9.7"
"Elic Ayomanor","TEN","16","32.0","18.1","13.2","17.3","30.8"
"Calvin Ridley","TEN","7","31.9","16.4","12.6","23.4","0.0"
"Chimere Dike","TEN","17","31.0","14.0","14.2","13.1","28.6"
"Romeo Doubs","GB","16","30.9","19.3","17.2","19.4","24.0"
"Ladd McConkey","LAC","16","30.6","20.9","19.0","20.7","23.1"
"DJ Moore","CHI","17","30.4","16.0","15.1","17.2","22.2"
"Keon Coleman","BUF","13","29.2","16.1","14.3","13.4","15.4"
"Quentin Skinner","NYJ","1","28.9","4.5","9.1","16.7","0.0"
"Troy Franklin","DEN","17","28.8","17.9","16.8","18.0","24.0"
"Keenan Allen","LAC","17","28.0","22.4","22.1","19.7","15.4"
"Jalen Coker","CAR","11","27.6","14.8","16.4","18.8","23.1"
"Mike Evans","TB","8","27.3","22.8","17.1","20.3","23.1"
"Rashid Shaheed","NO","18","27.0","16.8","15.8","17.8","11.1"
"Luther Burden III","CHI","15","26.9","12.8","16.0","19.0","9.1"
"Kayshon Boutte","NE","14","26.8","11.7","11.1","15.2","26.1"
"Brian Thomas Jr.","JAX","14","26.7","19.3","16.1","20.4","8.3"
"Malik Washington","MIA","17","26.1","14.1","14.3","9.5","13.0"
"Chris Godwin Jr.","TB","9","25.7","18.3","17.8","17.5","16.7"
"Hollywood Brown","KC","16","25.5","14.3","14.3","15.7","21.7"
"Travis Hunter","JAX","7","25.3","17.9","18.4","18.4","11.1"
"Calvin Austin III","PIT","14","24.6","13.1","10.4","12.5","15.0"
"Cedric Tillman","CLE","13","24.6","10.1","8.7","10.9","16.7"
"Darius Slayton","NYG","14","24.5","15.1","13.7","18.0","6.3"
"Josh Downs","IND","16","24.1","17.7","17.3","14.9","17.4"
"Darnell Mooney","ATL","15","24.1","16.1","11.2","14.0","5.9"
"Jalen Nailor","MIN","17","22.8","11.3","9.7","13.8","22.2"
"Kendrick Bourne","SF","16","22.6","10.3","10.0","13.6","0.0"
"Xavier Worthy","KC","14","22.3","16.1","13.7","15.6","4.8"
"Jayden Higgins","HOU","17","21.7","12.3","11.3","13.3","25.0"
"Jayden Reed","GB","7","21.3","13.4","16.2","14.1","11.1"
"Greg Dortch","ARI","12","21.0","7.4","9.2","6.5","15.8"
"Shedrick Jackson","LV","5","20.9","4.0","4.9","8.6","33.3"
"Isaiah Bond","CLE","16","20.8","9.0","5.9","11.3","0.0"
"Hunter Renfrow","CAR","6","20.7","13.6","11.7","7.4","18.2"
"Josh Reynolds","NYJ","5","20.1","15.1","11.8","10.7","0.0"
"Tory Horton","SEA","8","20.1","10.6","8.4","7.7","31.3"
"Gabe Davis","BUF","6","19.9","10.4","9.6","8.8","9.1"
"Mack Hollins","NE","15","19.7","14.9","14.3","13.9","8.0"
"Jalen McMillan","TB","4","19.4","12.2","14.0","18.3","0.0"
"Luke McCaffrey","WAS","9","19.3","6.3","6.8","11.1","25.0"
"Xavier Legette","CAR","15","19.0","15.1","12.1","12.2","13.6"
"Cooper Kupp","SEA","16","18.9","16.2","15.5","15.9","9.5"
"Adonai Mitchell","IND","16","18.4","15.1","10.2","13.1","11.8"
"Tyler Lockett","TEN","17","18.2","10.8","9.4","9.0","5.9"
"John Metchie III","PHI","16","18.0","11.2","11.9","10.3","11.1"
"Van Jefferson","TEN","16","17.5","10.5","9.1","11.2","7.1"
"Isaiah Williams","NYJ","15","17.2","8.9","10.4","8.5","0.0"
"Rashod Bateman","BAL","13","16.9","11.4","8.2","8.8","11.1"
"Sterling Shepard","TB","13","16.9","12.7","14.8","13.3","5.3"
"Tez Johnson","TB","16","16.5","8.7","8.6","9.1","21.7"
"Devaughn Vele","NO","13","16.4","9.6","8.7","10.3","15.4"
"Tyquan Thornton","KC","14","16.4","7.8","6.0","12.1","13.6"
"Ryan Flournoy","DAL","16","16.2","9.8","10.0","10.7","13.8"
"Marvin Mims Jr.","DEN","15","16.1","9.8","10.5","8.9","4.5"
"Xavier Hutchinson","HOU","17","16.0","10.3","9.6","10.8","12.5"
"Demarcus Robinson","SF","14","15.9","8.0","6.9","7.9","3.7"
"DeMario Douglas","NE","17","15.7","9.6","8.6","10.0","9.7"
"DeAndre Hopkins","BAL","17","15.7","9.6","7.9","10.1","8.7"
"Dontayvion Wicks","GB","14","15.6","12.4","11.4","10.7","9.1"
"Malachi Corley","CLE","13","15.2","3.8","4.8","3.4","0.0"
"Matthew Golden","GB","14","15.0","11.8","10.6","11.1","0.0"
"Xavier Restrepo","TEN","2","14.9","9.6","5.8","10.3","0.0"
"Zay Jones","ARI","8","14.8","6.8","6.7","9.7","0.0"
"Tyler Johnson","NYJ","12","14.6","5.5","5.7","10.2","9.1"
"Olamide Zaccheaus","CHI","16","14.6","13.2","12.7","8.6","8.0"
"Treylon Burks","WAS","8","14.6","12.0","8.2","9.0","16.7"
"Joshua Palmer","BUF","12","14.6","10.8","9.1","10.7","0.0"
"Pat Bryant","DEN","15","14.2","9.6","9.1","11.0","5.0"
"Roman Wilson","PIT","13","14.1","5.5","4.6","6.5","9.5"
"Ronnie Bell","NO","2","13.8","6.9","4.8","4.1","33.3"
"Isaiah Hodgins","NYG","7","13.7","9.7","8.0","8.1","14.3"
"Brandin Cooks","NO","15","13.3","8.0","7.7","8.9","0.0"
"Andrei Iosivas","CIN","17","13.0","9.6","8.0","10.3","5.6"
"Devontez Walker","BAL","12","12.8","3.0","3.2","5.8","18.8"
"JuJu Smith-Schuster","KC","17","12.3","8.2","9.1","8.7","4.3"
"David Sills V","ATL","17","12.3","6.9","5.4","5.2","10.5"
"KaVontae Turpin","DAL","15","12.2","7.0","6.9","9.3","8.3"
"Jamari Thrash","CLE","9","11.9","4.8","5.1","6.4","0.0"
"Jack Bech","LV","16","11.8","6.2","6.3","7.2","0.0"
"Jacoby Jones","WAS","1","11.6","3.4","5.0","11.7","0.0"
"Curtis Samuel","BUF","6","11.6","5.3","5.7","5.2","9.1"
"Kevin Austin Jr.","NO","8","11.4","8.7","6.8","7.1","11.1"
"Isaac TeSlaa","DET","17","11.2","4.9","4.1","5.2","17.1"
"Jaylin Noel","HOU","17","11.0","6.3","7.1","7.4","8.3"
"Robbie Chosen","WAS","3","11.0","11.0","9.6","8.2","0.0"
"Christian Kirk","HOU","13","10.9","12.4","10.0","7.9","5.0"
"Jaylin Lane","WAS","15","10.8","8.2","6.2","7.5","0.0"
"Elijah Moore","BUF","9","10.6","6.4","4.7","5.1","0.0"
"Noah Brown","WAS","4","10.6","9.5","7.8","11.0","0.0"
"Tre' Harris","LAC","17","10.5","7.9","8.2","8.2","3.8"
"Lil'Jordan Humphrey","NYG","10","10.5","7.5","5.9","6.3","8.3"
"Marquez Valdes-Scantling","SF","10","10.4","7.8","5.3","4.3","7.7"
"Kalif Raymond","DET","15","10.3","6.1","6.9","7.2","3.1"
