"Name","Team","Games Played","TE PTS%","TGT%","REC%","YD%","TD%"
"Cade Otton","TB","16","98.3","16.0","17.8","16.5","4.3"
"Kyle Pitts Sr.","ATL","17","94.9","22.7","26.5","25.1","26.3"
"Dallas Goedert","PHI","15","94.4","20.0","21.3","18.7","44.0"
"Dalton Schultz","HOU","17","87.9","19.2","22.5","19.6","12.5"
"Juwan Johnson","NO","17","84.0","18.6","20.0","22.6","15.8"
"Travis Kelce","KC","17","83.9","19.7","21.0","21.5","21.7"
"Oronde Gadsden","LAC","15","83.2","14.3","15.2","19.6","14.3"
"Trey McBride","ARI","17","82.1","27.4","29.5","28.5","37.9"
"George Kittle","SF","11","81.9","21.7","23.9","25.6","31.8"
"Tucker Kraft","GB","8","81.6","18.8","18.1","23.6","46.2"
"Brock Bowers","LV","12","81.0","23.6","25.3","26.8","38.9"
"Tyler Warren","IND","17","80.3","21.2","21.2","20.0","16.0"
"Zach Ertz","WAS","13","80.1","20.2","21.2","19.0","23.5"
"Jake Ferguson","DAL","17","78.7","16.8","19.6","12.7","25.8"
"Sam LaPorta","DET","9","78.6","18.6","19.7","21.8","14.3"
"AJ Barner","SEA","17","76.9","14.9","16.0","12.8","24.0"
"Hunter Henry","NE","17","75.7","18.1","16.7","17.2","22.6"
"Theo Johnson","NYG","15","73.3","16.7","16.2","16.3","27.8"
"Brenton Strange","JAX","12","70.9","15.8","18.9","18.4","12.5"
"Colston Loveland","CHI","16","69.1","16.6","18.7","19.0","23.1"
"Mason Taylor","NYJ","13","69.0","18.5","19.7","16.7","7.7"
"Harold Fannin Jr.","CLE","16","67.0","21.4","23.1","24.0","37.5"
"T.J. Hockenson","MIN","15","66.1","15.6","19.0","15.0","16.7"
"Albert Okwuegbunam Jr.","LV","1","63.5","16.7","20.0","15.8","0.0"
"Evan Engram","DEN","16","60.7","13.6","13.4","12.2","4.2"
"Darren Waller","MIA","9","57.4","14.3","14.7","16.0","54.5"
"Mark Andrews","BAL","17","57.2","17.2","17.3","12.9","21.7"
"Chig Okonkwo","TEN","17","54.3","14.9","16.5","17.3","14.3"
"Greg Dulcich","MIA","10","51.8","13.4","15.2","17.4","8.3"
"Dalton Kincaid","BUF","12","51.6","14.6","15.7","20.1","21.7"
"Ja'Tavion Sanders","CAR","13","51.2","9.2","11.8","7.8","6.7"
"Anthony Firkser","DET","7","49.2","4.0","4.5","2.6","0.0"
"Colby Parkinson","LAR","15","45.5","10.7","12.4","9.6","18.6"
"Mike Gesicki","CIN","13","41.5","9.4","9.2","10.3","7.7"
"Gunnar Helm","TEN","16","40.1","11.1","13.8","11.5","14.3"
"Hunter Long","JAX","9","39.7","5.4","6.2","4.1","18.2"
"Pat Freiermuth","PIT","17","39.0","10.4","11.3","13.4","15.4"
"David Njoku","CLE","12","38.3","12.0","13.5","12.2","28.6"
"Tommy Tremble","CAR","17","37.9","7.7","8.2","7.5","8.3"
"Tyler Higbee","LAR","10","37.3","11.2","11.5","11.6","10.7"
"Josh Oliver","MIN","15","36.0","4.7","5.7","5.7","26.7"
"Noah Fant","CIN","15","35.9","7.4","9.2","7.6","9.4"
"Dawson Knox","BUF","17","34.5","10.2","10.5","10.5","13.8"
"Daniel Bellinger","NYG","16","34.2","5.5","6.4","8.2","11.1"
"Jake Tonges","SF","17","32.3","8.4","8.6","6.8","15.2"
"Michael Mayer","LV","13","31.7","12.9","13.4","12.7","7.1"
"Jeremy Ruckert","NYJ","17","31.6","6.2","7.7","6.4","6.7"
"Cole Kmet","CHI","16","31.5","9.7","9.8","9.4","7.4"
"Isaiah Likely","BAL","14","30.5","10.8","12.1","12.0","7.1"
"Josh Whyle","GB","8","30.4","3.1","3.8","2.4","9.1"
"Mitchell Evans","CAR","17","29.1","5.2","5.8","5.2","8.3"
"Adam Trautman","DEN","17","27.4","4.0","5.2","5.0","4.0"
"Jonnu Smith","PIT","17","26.9","10.4","10.5","6.1","7.7"
"Drake Dabney","GB","2","26.7","5.7","4.0","0.9","0.0"
"Brock Wright","DET","11","25.5","6.5","5.7","3.9","8.3"
"Tanner Hudson","CIN","15","25.2","4.5","5.3","4.5","6.3"
"Austin Hooper","NE","16","25.1","5.8","6.3","6.3","6.7"
"Darnell Washington","PIT","16","25.0","9.0","9.3","10.9","4.0"
"Elijah Arroyo","SEA","13","24.3","7.7","6.2","5.6","4.5"
"Luke Musgrave","GB","17","21.1","6.9","7.4","6.7","0.0"
"Terrance Ferguson","LAR","14","21.0","5.3","3.5","6.0","8.1"
"Nate Adkins","DEN","9","19.3","3.6","3.0","2.2","6.3"
"Davis Allen","LAR","17","19.2","5.7","6.2","4.4","6.5"
"Will Dissly","LAC","9","18.1","5.7","5.4","4.3","0.0"
"Jackson Hawes","BUF","17","18.0","4.0","4.7","4.7","10.3"
"Tanner Conner","MIA","9","17.8","5.4","4.6","4.9","0.0"
"Cade Stover","HOU","9","16.8","6.0","6.8","3.8","0.0"
"Charlie Kolar","BAL","17","16.7","3.7","3.6","4.3","8.7"
"Noah Gray","KC","16","16.5","7.2","6.2","4.8","0.0"
"Ben Sinnott","WAS","16","15.8","3.2","4.1","3.7","5.6"
"Julian Hill","MIA","14","15.5","5.3","5.8","5.2","0.0"
"John Bates","WAS","15","15.4","4.1","4.3","3.5","6.3"
