"Name","Team","ATT","ATT%","CMP","CMP%","TDS","TD%","ATT","ATT%","CMP","CMP%","TDS","TD%"
"Matthew Stafford","LAR","110","18.4%","69","17.8%","33","71.7%","58","9.7%","34","8.8%","27","58.7%"
"Dak Prescott","DAL","102","17.0%","57","14.1%","21","70.0%","48","8.0%","26","6.4%","17","56.7%"
"Jared Goff","DET","94","16.3%","53","13.5%","25","73.5%","43","7.4%","21","5.3%","13","38.2%"
"Patrick Mahomes","KC","88","17.5%","46","14.6%","18","81.8%","50","10.0%","26","8.3%","15","68.2%"
"Trevor Lawrence","JAX","88","15.7%","51","15.0%","23","79.3%","40","7.1%","23","6.7%","17","58.6%"
"Bo Nix","DEN","87","14.2%","53","13.7%","17","68.0%","38","6.2%","16","4.1%","9","36.0%"
"Jacoby Brissett","ARI","84","17.3%","49","15.6%","19","82.6%","25","5.2%","13","4.1%","6","26.1%"
"Justin Herbert","LAC","82","16.0%","43","12.6%","20","76.9%","33","6.4%","17","5.0%","14","53.8%"
"Aaron Rodgers","PIT","77","15.5%","47","14.4%","14","58.3%","37","7.4%","15","4.6%","6","25.0%"
"Caleb Williams","CHI","73","12.9%","39","11.8%","14","51.9%","29","5.1%","18","5.5%","12","44.4%"
"Drake Maye","NE","72","14.6%","47","13.3%","20","64.5%","38","7.7%","20","5.6%","14","45.2%"
"Bryce Young","CAR","68","14.2%","40","13.2%","14","60.9%","23","4.8%","16","5.3%","12","52.2%"
"Baker Mayfield","TB","67","12.3%","40","11.7%","16","61.5%","24","4.4%","12","3.5%","9","34.6%"
"Sam Darnold","SEA","67","14.0%","39","12.1%","15","60.0%","28","5.9%","15","4.6%","7","28.0%"
"Josh Allen","BUF","65","14.1%","42","13.2%","16","64.0%","30","6.5%","21","6.6%","9","36.0%"
"Jordan Love","GB","65","14.8%","39","13.4%","17","73.9%","23","5.2%","13","4.5%","10","43.5%"
"Geno Smith","LV","58","12.9%","35","11.6%","15","78.9%","24","5.4%","18","6.0%","13","68.4%"
"Daniel Jones","IND","57","14.8%","34","13.0%","16","84.2%","25","6.5%","14","5.4%","11","57.9%"
"Brock Purdy","SF","57","20.1%","34","17.3%","16","80.0%","31","10.9%","16","8.1%","13","65.0%"
"Tua Tagovailoa","MIA","55","14.3%","36","13.8%","16","80.0%","28","7.3%","19","7.3%","12","60.0%"
"C.J. Stroud","HOU","54","12.8%","30","11.0%","12","63.2%","26","6.1%","13","4.8%","9","47.4%"
"Cam Ward","TEN","54","10.0%","36","11.1%","12","80.0%","25","4.6%","18","5.6%","11","73.3%"
"Jalen Hurts","PHI","52","11.5%","37","12.6%","16","64.0%","20","4.4%","15","5.1%","13","52.0%"
"Jaxson Dart","NYG","47","13.9%","20","9.3%","9","60.0%","14","4.1%","5","2.3%","2","13.3%"
"Joe Flacco","CIN","46","11.1%","24","9.6%","10","66.7%","17","4.1%","8","3.2%","6","40.0%"
"Lamar Jackson","BAL","44","14.6%","19","9.9%","11","52.4%","21","7.0%","8","4.2%","7","33.3%"
"Joe Burrow","CIN","42","16.2%","22","12.7%","14","82.4%","22","8.5%","10","5.8%","9","52.9%"
"Mac Jones","SF","39","13.5%","30","14.9%","12","92.3%","14","4.8%","12","6.0%","8","61.5%"
"J.J. McCarthy","MIN","35","14.4%","16","11.4%","10","90.9%","18","7.4%","6","4.3%","6","54.5%"
"Carson Wentz","MIN","34","20.1%","18","16.4%","6","100.0%","9","5.3%","4","3.6%","3","50.0%"
"Kirk Cousins","ATL","33","12.3%","18","10.8%","9","90.0%","12","4.5%","7","4.2%","6","60.0%"
"Dillon Gabriel","CLE","32","17.3%","15","13.6%","6","85.7%","11","5.9%","4","3.6%","4","57.1%"
"Spencer Rattler","NO","32","12.5%","16","9.2%","6","75.0%","11","4.3%","5","2.9%","3","37.5%"
"Marcus Mariota","WAS","30","13.2%","14","10.1%","7","70.0%","15","6.6%","8","5.8%","5","50.0%"
"Michael Penix Jr.","ATL","30","10.9%","16","9.6%","8","88.9%","14","5.1%","7","4.2%","7","77.8%"
"Davis Mills","HOU","25","15.7%","12","13.2%","5","100.0%","11","6.9%","5","5.5%","4","80.0%"
"Justin Fields","NYJ","23","11.3%","12","9.4%","3","42.9%","9","4.4%","3","2.3%","2","28.6%"
"Tyler Shough","NO","21","6.4%","13","5.9%","7","70.0%","3","0.9%","1","0.5%","1","10.0%"
"Jayden Daniels","WAS","21","11.2%","11","9.6%","6","75.0%","8","4.3%","5","4.4%","5","62.5%"
"Russell Wilson","NYG","20","16.8%","4","5.8%","0","0.0%","15","12.6%","2","2.9%","0","0.0%"
"Kyler Murray","ARI","20","12.4%","13","11.8%","6","100.0%","10","6.2%","5","4.5%","4","66.7%"
"Brady Cook","NYJ","19","12.4%","6","6.8%","2","100.0%","6","3.9%","2","2.3%","2","100.0%"
"Riley Leonard","IND","16","23.9%","7","17.9%","1","50.0%","9","13.4%","2","5.1%","1","50.0%"
"Tyrod Taylor","NYJ","15","11.2%","7","8.8%","4","80.0%","7","5.2%","3","3.8%","2","40.0%"
"Shedeur Sanders","CLE","14","6.6%","9","7.5%","3","42.9%","7","3.3%","3","2.5%","2","28.6%"
