"Name","Team","ATT","ATT%","TDS","TD%","TEAM%","ATT","ATT%","TDS","TD%","TEAM%"
"Derrick Henry","BAL","40","13.0%","10","62.5%","76.9%","27","8.8%","10","62.5%","81.8%"
"Jonathan Taylor","IND","40","12.4%","12","66.7%","69.0%","23","7.1%","9","50.0%","65.7%"
"Christian McCaffrey","SF","37","11.9%","9","90.0%","80.4%","20","6.4%","9","90.0%","76.9%"
"Josh Jacobs","GB","30","12.8%","10","76.9%","68.2%","20","8.5%","8","61.5%","76.9%"
"Javonte Williams","DAL","28","11.1%","10","90.9%","63.6%","20","7.9%","10","90.9%","66.7%"
"Zach Charbonnet","SEA","31","16.8%","10","83.3%","64.6%","18","9.8%","9","75.0%","62.1%"
"Kyren Williams","LAR","30","11.6%","10","100.0%","55.6%","18","6.9%","8","80.0%","51.4%"
"Josh Allen","BUF","22","19.6%","13","92.9%","34.4%","17","15.2%","11","78.6%","39.5%"
"David Montgomery","DET","24","15.2%","6","75.0%","49.0%","16","10.1%","5","62.5%","61.5%"
"James Cook III","BUF","26","8.4%","6","50.0%","40.6%","16","5.2%","6","50.0%","37.2%"
"Kareem Hunt","KC","21","12.9%","8","100.0%","48.8%","15","9.2%","8","100.0%","71.4%"
"D'Andre Swift","CHI","24","10.8%","6","66.7%","48.0%","14","6.3%","5","55.6%","56.0%"
"Chris Rodriguez Jr.","WAS","22","19.6%","6","100.0%","41.5%","14","12.5%","5","83.3%","41.2%"
"Jaylen Warren","PIT","22","10.4%","4","66.7%","47.8%","14","6.6%","4","66.7%","48.3%"
"Saquon Barkley","PHI","24","8.6%","3","42.9%","50.0%","13","4.6%","1","14.3%","41.9%"
"Blake Corum","LAR","16","11.0%","4","66.7%","29.6%","13","9.0%","4","66.7%","37.1%"
"Chase Brown","CIN","19","8.2%","5","83.3%","57.6%","13","5.6%","4","66.7%","65.0%"
"Travis Etienne Jr.","JAX","26","10.0%","4","57.1%","49.1%","12","4.6%","2","28.6%","37.5%"
"Jalen Hurts","PHI","15","14.3%","8","100.0%","31.3%","12","11.4%","6","75.0%","38.7%"
"Jacory Croskey-Merritt","WAS","20","11.4%","5","62.5%","37.7%","12","6.9%","3","37.5%","35.3%"
"Rhamondre Stevenson","NE","16","12.3%","5","71.4%","28.6%","11","8.5%","4","57.1%","40.7%"
"Sean Tucker","TB","14","16.3%","6","85.7%","45.2%","11","12.8%","4","57.1%","55.0%"
"Quinshon Judkins","CLE","18","7.8%","6","85.7%","56.3%","11","4.8%","5","71.4%","50.0%"
"Devin Singletary","NYG","17","14.3%","4","80.0%","33.3%","10","8.4%","3","60.0%","33.3%"
"Trevor Lawrence","JAX","14","17.1%","8","88.9%","26.4%","10","12.2%","5","55.6%","31.3%"
"Bijan Robinson","ATL","17","5.9%","4","57.1%","42.5%","10","3.5%","3","42.9%","43.5%"
"Jahmyr Gibbs","DET","22","9.1%","7","53.8%","44.9%","10","4.1%","4","30.8%","38.5%"
"Tyler Allgeier","ATL","19","13.3%","6","75.0%","47.5%","10","7.0%","5","62.5%","43.5%"
"Ashton Jeanty","LV","16","6.0%","3","60.0%","84.2%","10","3.8%","3","60.0%","83.3%"
"Kenny Gainwell","PIT","16","14.0%","5","100.0%","34.8%","9","7.9%","4","80.0%","31.0%"
"Cam Skattebo","NYG","12","11.9%","4","80.0%","57.1%","9","8.9%","4","80.0%","69.2%"
"Woody Marks","HOU","15","7.7%","1","33.3%","44.1%","9","4.6%","1","33.3%","39.1%"
"RJ Harvey","DEN","14","9.6%","5","71.4%","40.0%","9","6.2%","5","71.4%","45.0%"
