"Name","Team","TGT","TGT%","REC","REC%","CATCH%","TDS","TD%","TGT","TGT%","REC","REC%","CATCH%","TDS","TD%"
"Davante Adams","LAR","32","28.1%","13","21.7%","40.6%","12","85.7%","23","20.2%","11","18.3%","47.8%","11","78.6%"
"Amon-Ra St. Brown","DET","33","19.2%","20","17.1%","60.6%","10","90.9%","21","12.2%","11","9.4%","52.4%","7","63.6%"
"Rashee Rice","KC","18","23.1%","11","20.8%","61.1%","4","80.0%","14","17.9%","8","15.1%","57.1%","3","60.0%"
"Jake Ferguson","DAL","24","23.5%","15","18.3%","62.5%","7","87.5%","13","12.7%","8","9.8%","61.5%","6","75.0%"
"Christian McCaffrey","SF","24","18.6%","20","19.6%","83.3%","7","100.0%","12","9.3%","10","9.8%","83.3%","7","100.0%"
"Trey McBride","ARI","33","19.5%","20","15.9%","60.6%","11","100.0%","11","6.5%","6","4.8%","54.5%","4","36.4%"
"Tyler Warren","IND","21","18.8%","11","14.5%","52.4%","4","100.0%","11","9.8%","4","5.3%","36.4%","2","50.0%"
"Hunter Henry","NE","22","25.3%","14","23.3%","63.6%","5","71.4%","10","11.5%","4","6.7%","40.0%","3","42.9%"
"Justin Jefferson","MIN","18","12.8%","5","6.0%","27.8%","2","100.0%","10","7.1%","1","1.2%","10.0%","1","50.0%"
"George Pickens","DAL","23","16.8%","11","11.8%","47.8%","4","44.4%","10","7.3%","4","4.3%","40.0%","3","33.3%"
"Puka Nacua","LAR","17","10.2%","14","10.9%","82.4%","5","50.0%","10","6.0%","8","6.2%","80.0%","4","40.0%"
"Mark Andrews","BAL","14","20.0%","6","12.5%","42.9%","4","80.0%","9","12.9%","2","4.2%","22.2%","2","40.0%"
"Dallas Goedert","PHI","15","18.3%","13","21.7%","86.7%","10","90.9%","9","11.0%","8","13.3%","88.9%","8","72.7%"
"Nico Collins","HOU","18","15.0%","8","11.3%","44.4%","3","50.0%","9","7.5%","4","5.6%","44.4%","3","50.0%"
"Colby Parkinson","LAR","20","35.7%","15","34.9%","75.0%","6","75.0%","9","16.1%","6","14.0%","66.7%","4","50.0%"
"Brock Bowers","LV","17","19.8%","10","15.6%","58.8%","6","85.7%","9","10.5%","6","9.4%","66.7%","5","71.4%"
"Hollywood Brown","KC","10","13.5%","7","14.3%","70.0%","5","100.0%","8","10.8%","6","12.2%","75.0%","4","80.0%"
"Jauan Jennings","SF","19","21.1%","11","20.0%","57.9%","7","77.8%","8","8.9%","4","7.3%","50.0%","4","44.4%"
"Michael Pittman Jr.","IND","15","13.5%","8","10.0%","53.3%","5","71.4%","8","7.2%","6","7.5%","75.0%","4","57.1%"
"Ja'Marr Chase","CIN","22","11.9%","13","10.4%","59.1%","7","87.5%","8","4.3%","5","4.0%","62.5%","4","50.0%"
"Drake London","ATL","15","13.4%","9","13.2%","60.0%","7","100.0%","8","7.1%","5","7.4%","62.5%","5","71.4%"
