"Team","Rank","Team","Week 1 Opp","Week 1 Opp Pts Allowed","Week 1 Rank","Week 2 Opp","Week 2 Opp Pts Allowed","Week 2 Rank","Week 3 Opp","Week 3 Opp Pts Allowed","Week 3 Rank","Week 4 Opp","Week 4 Opp Pts Allowed","Week 4 Rank","Week 5 Opp","Week 5 Opp Pts Allowed","Week 5 Rank","Week 6 Opp","Week 6 Opp Pts Allowed","Week 6 Rank","Week 7 Opp","Week 7 Opp Pts Allowed","Week 7 Rank","Week 8 Opp","Week 8 Opp Pts Allowed","Week 8 Rank","Week 9 Opp","Week 9 Opp Pts Allowed","Week 9 Rank","Week 10 Opp","Week 10 Opp Pts Allowed","Week 10 Rank","Week 11 Opp","Week 11 Opp Pts Allowed","Week 11 Rank","Week 12 Opp","Week 12 Opp Pts Allowed","Week 12 Rank","Week 13 Opp","Week 13 Opp Pts Allowed","Week 13 Rank","Week 14 Opp","Week 14 Opp Pts Allowed","Week 14 Rank","Week 15 Opp","Week 15 Opp Pts Allowed","Week 15 Rank","Week 16 Opp","Week 16 Opp Pts Allowed","Week 16 Rank","Week 17 Opp","Week 17 Opp Pts Allowed","Week 17 Rank","Week 18 Opp","Week 18 Opp Pts Allowed","Week 18 Rank"
"Philadelphia Eagles","1","PHI","WAS","20.9","4","@TEN","19.8","7","@CHI","20.3","6","LAR","16.8","18","@JAX","17.9","16","CAR","14.8","26","DAL","24.4","1","@WAS","20.9","4","NYG","19.0","11","BYE","0","0","PIT","20.6","5","@DAL","24.4","1","@ARI","17.9","15","IND","18.4","13","SEA","15.4","24","HOU","13.7","30","@SF","18.2","14","@NYG","19.0","11"
"Cleveland Browns","2","CLE","@JAX","17.9","16","@TB","21.2","2","CAR","14.8","26","PIT","20.6","5","@NYJ","21.1","3","BAL","18.7","12","@TEN","19.8","7","@PIT","20.6","5","@NO","14.6","27","HOU","13.7","30","BYE","0","0","LV","16.5","19","CIN","19.3","9","ATL","17.8","17","@NYG","19.0","11","@BAL","18.7","12","IND","18.4","13","@CIN","19.3","9"
"Tennessee Titans","3","TEN","NYJ","21.1","3","PHI","15.6","23","@NYG","19.0","11","@BAL","18.7","12","HOU","13.7","30","@IND","18.4","13","CLE","14.0","28","@CIN","19.3","9","BYE","0","0","JAX","17.9","16","@DAL","24.4","1","@JAX","17.9","16","WAS","20.9","4","@DET","19.5","8","IND","18.4","13","@LV","16.5","19","PIT","20.6","5","@HOU","13.7","30"
"New York Giants","4","NYG","DAL","24.4","1","@LAR","16.8","18","TEN","19.8","7","ARI","17.9","15","@WAS","20.9","4","NO","14.6","27","@HOU","13.7","30","BYE","0","0","@PHI","15.6","23","WAS","20.9","4","JAX","17.9","16","@IND","18.4","13","SF","18.2","14","@SEA","15.4","24","CLE","14.0","28","@DET","19.5","8","@DAL","24.4","1","PHI","15.6","23"
"Jacksonville Jaguars","5","JAX","CLE","14.0","28","@DEN","15.1","25","NE","16.0","21","@CIN","19.3","9","PHI","15.6","23","HOU","13.7","30","BYE","0","0","IND","18.4","13","@BAL","18.7","12","@TEN","19.8","7","@NYG","19.0","11","TEN","19.8","7","@CHI","20.3","6","PIT","20.6","5","@HOU","13.7","30","@DAL","24.4","1","WAS","20.9","4","@IND","18.4","13"
"Houston Texans","6","HOU","BUF","13.8","29","CIN","19.3","9","@IND","18.4","13","DAL","24.4","1","@TEN","19.8","7","@JAX","17.9","16","NYG","19.0","11","BYE","0","0","@LAC","13.6","31","@CLE","14.0","28","IND","18.4","13","BAL","18.7","12","@PIT","20.6","5","@WAS","20.9","4","JAX","17.9","16","@PHI","15.6","23","@GB","15.8","22","TEN","19.8","7"
"Minnesota Vikings","7","MIN","GB","15.8","22","@CHI","20.3","6","@TB","21.2","2","MIA","19.3","10","@NO","14.6","27","BYE","0","0","IND","18.4","13","@DET","19.5","8","BUF","13.8","29","@GB","15.8","22","@SF","18.2","14","ATL","17.8","17","CAR","14.8","26","@NE","16.0","21","DET","19.5","8","WAS","20.9","4","@NYJ","21.1","3","CHI","20.3","6"
"Washington Commanders","8","WAS","@PHI","15.6","23","@DAL","24.4","1","SEA","15.4","24","IND","18.4","13","NYG","19.0","11","@SF","18.2","14","BYE","0","0","PHI","15.6","23","LAR","16.8","18","@NYG","19.0","11","CIN","19.3","9","@ARI","17.9","15","@TEN","19.8","7","HOU","13.7","30","ATL","17.8","17","@MIN","11.8","32","@JAX","17.9","16","DAL","24.4","1"
"Dallas Cowboys","9","DAL","@NYG","19.0","11","WAS","20.9","4","BAL","18.7","12","@HOU","13.7","30","TB","21.2","2","@GB","15.8","22","@PHI","15.6","23","ARI","17.9","15","@IND","18.4","13","SF","18.2","14","TEN","19.8","7","PHI","15.6","23","@SEA","15.4","24","BYE","0","0","@LAR","16.8","18","JAX","17.9","16","NYG","19.0","11","@WAS","20.9","4"
"Indianapolis Colts","10","IND","BAL","18.7","12","@KC","16.0","20","HOU","13.7","30","@WAS","20.9","4","@PIT","20.6","5","TEN","19.8","7","@MIN","11.8","32","@JAX","17.9","16","DAL","24.4","1","MIA","19.3","10","@HOU","13.7","30","NYG","19.0","11","BYE","0","0","@PHI","15.6","23","@TEN","19.8","7","CIN","19.3","9","@CLE","14.0","28","JAX","17.9","16"
