"Team","Rank","Team","Week 1 Opp","Week 1 Opp Pts Allowed","Week 1 Rank","Week 2 Opp","Week 2 Opp Pts Allowed","Week 2 Rank","Week 3 Opp","Week 3 Opp Pts Allowed","Week 3 Rank","Week 4 Opp","Week 4 Opp Pts Allowed","Week 4 Rank","Week 5 Opp","Week 5 Opp Pts Allowed","Week 5 Rank","Week 6 Opp","Week 6 Opp Pts Allowed","Week 6 Rank","Week 7 Opp","Week 7 Opp Pts Allowed","Week 7 Rank","Week 8 Opp","Week 8 Opp Pts Allowed","Week 8 Rank","Week 9 Opp","Week 9 Opp Pts Allowed","Week 9 Rank","Week 10 Opp","Week 10 Opp Pts Allowed","Week 10 Rank","Week 11 Opp","Week 11 Opp Pts Allowed","Week 11 Rank","Week 12 Opp","Week 12 Opp Pts Allowed","Week 12 Rank","Week 13 Opp","Week 13 Opp Pts Allowed","Week 13 Rank","Week 14 Opp","Week 14 Opp Pts Allowed","Week 14 Rank","Week 15 Opp","Week 15 Opp Pts Allowed","Week 15 Rank","Week 16 Opp","Week 16 Opp Pts Allowed","Week 16 Rank","Week 17 Opp","Week 17 Opp Pts Allowed","Week 17 Rank","Week 18 Opp","Week 18 Opp Pts Allowed","Week 18 Rank"
"Philadelphia Eagles","1","PHI","WAS","25.0","4","@TEN","20.7","13","@CHI","20.0","18","LAR","18.7","21","@JAX","16.3","30","CAR","22.6","9","DAL","24.1","6","@WAS","25.0","4","NYG","24.5","5","BYE","0","0","PIT","18.2","25","@DAL","24.1","6","@ARI","25.7","3","IND","18.4","23","SEA","16.0","31","HOU","18.3","24","@SF","21.1","12","@NYG","24.5","5"
"Detroit Lions","2","DET","NO","19.8","20","@BUF","23.3","8","NYJ","27.1","2","@CAR","22.6","9","@ARI","25.7","3","BYE","0","0","GB","20.0","19","MIN","18.7","22","@MIA","23.5","7","NE","17.3","29","TB","20.4","16","CHI","20.0","18","@ATL","20.2","17","TEN","20.7","13","@MIN","18.7","22","NYG","24.5","5","@CHI","20.0","18","@GB","20.0","19"
"Washington Commanders","3","WAS","@PHI","21.7","10","@DAL","24.1","6","SEA","16.0","31","IND","18.4","23","NYG","24.5","5","@SF","21.1","12","BYE","0","0","PHI","21.7","10","LAR","18.7","21","@NYG","24.5","5","CIN","27.2","1","@ARI","25.7","3","@TEN","20.7","13","HOU","18.3","24","ATL","20.2","17","@MIN","18.7","22","@JAX","16.3","30","DAL","24.1","6"
"Cleveland Browns","4","CLE","@JAX","16.3","30","@TB","20.4","16","CAR","22.6","9","PIT","18.2","25","@NYJ","27.1","2","BAL","20.7","14","@TEN","20.7","13","@PIT","18.2","25","@NO","19.8","20","HOU","18.3","24","BYE","0","0","LV","21.3","11","CIN","27.2","1","ATL","20.2","17","@NYG","24.5","5","@BAL","20.7","14","IND","18.4","23","@CIN","27.2","1"
"New Orleans Saints","5","NO","@DET","17.8","26","@BAL","20.7","14","LV","21.3","11","ATL","20.2","17","MIN","18.7","22","@NYG","24.5","5","PIT","18.2","25","BYE","0","0","CLE","20.6","15","CAR","22.6","9","@CHI","20.0","18","@CIN","27.2","1","GB","20.0","19","@CAR","22.6","9","@TB","20.4","16","ARI","25.7","3","@ATL","20.2","17","TB","20.4","16"
"Dallas Cowboys","6","DAL","@NYG","24.5","5","WAS","25.0","4","BAL","20.7","14","@HOU","18.3","24","TB","20.4","16","@GB","20.0","19","@PHI","21.7","10","ARI","25.7","3","@IND","18.4","23","SF","21.1","12","TEN","20.7","13","PHI","21.7","10","@SEA","16.0","31","BYE","0","0","@LAR","18.7","21","JAX","16.3","30","NYG","24.5","5","@WAS","25.0","4"
"Seattle Seahawks","7","SEA","NE","17.3","29","@ARI","25.7","3","@WAS","25.0","4","LAC","17.5","28","SF","21.1","12","@DEN","15.8","32","KC","17.7","27","CHI","20.0","18","ARI","25.7","3","@LV","21.3","11","BYE","0","0","@SF","21.1","12","DAL","24.1","6","NYG","24.5","5","@PHI","21.7","10","LAR","18.7","21","@CAR","22.6","9","@LAR","18.7","21"
"Los Angeles Rams","8","LAR","SF","21.1","12","NYG","24.5","5","@DEN","15.8","32","@PHI","21.7","10","BUF","23.3","8","ARI","25.7","3","@LV","21.3","11","LAC","17.5","28","@WAS","25.0","4","@ARI","25.7","3","BYE","0","0","GB","20.0","19","KC","17.7","27","@SF","21.1","12","DAL","24.1","6","@SEA","16.0","31","@TB","20.4","16","SEA","16.0","31"
"New York Giants","9","NYG","DAL","24.1","6","@LAR","18.7","21","TEN","20.7","13","ARI","25.7","3","@WAS","25.0","4","NO","19.8","20","@HOU","18.3","24","BYE","0","0","@PHI","21.7","10","WAS","25.0","4","JAX","16.3","30","@IND","18.4","23","SF","21.1","12","@SEA","16.0","31","CLE","20.6","15","@DET","17.8","26","@DAL","24.1","6","PHI","21.7","10"
"Minnesota Vikings","10","MIN","GB","20.0","19","@CHI","20.0","18","@TB","20.4","16","MIA","23.5","7","@NO","19.8","20","BYE","0","0","IND","18.4","23","@DET","17.8","26","BUF","23.3","8","@GB","20.0","19","@SF","21.1","12","ATL","20.2","17","CAR","22.6","9","@NE","17.3","29","DET","17.8","26","WAS","25.0","4","@NYJ","27.1","2","CHI","20.0","18"
"Tennessee Titans","11","TEN","NYJ","27.1","2","PHI","21.7","10","@NYG","24.5","5","@BAL","20.7","14","HOU","18.3","24","@IND","18.4","23","CLE","20.6","15","@CIN","27.2","1","BYE","0","0","JAX","16.3","30","@DAL","24.1","6","@JAX","16.3","30","WAS","25.0","4","@DET","17.8","26","IND","18.4","23","@LV","21.3","11","PIT","18.2","25","@HOU","18.3","24"
