"Name","Team","TGT%","CMP%","TGT%","CMP%","TGT%","CMP%"
"Arizona Cardinals","ARI","45%","40%","20%","21%","35%","38%"
"Atlanta Falcons","ATL","52%","43%","23%","28%","25%","29%"
"Baltimore Ravens","BAL","52%","49%","18%","20%","30%","31%"
"Buffalo Bills","BUF","56%","52%","18%","20%","25%","28%"
"Carolina Panthers","CAR","60%","54%","19%","22%","21%","24%"
"Chicago Bears","CHI","59%","57%","15%","16%","26%","28%"
"Cincinnati Bengals","CIN","60%","55%","18%","21%","21%","24%"
"Cleveland Browns","CLE","45%","36%","23%","29%","32%","34%"
"Dallas Cowboys","DAL","64%","60%","14%","15%","23%","25%"
"Denver Broncos","DEN","60%","57%","20%","22%","20%","20%"
"Detroit Lions","DET","61%","57%","22%","26%","17%","17%"
"Green Bay Packers","GB","61%","58%","17%","20%","22%","23%"
"Houston Texans","HOU","63%","58%","14%","15%","24%","27%"
"Indianapolis Colts","IND","59%","56%","15%","18%","26%","26%"
"Jacksonville Jaguars","JAX","67%","63%","14%","16%","19%","21%"
"Kansas City Chiefs","KC","57%","55%","16%","18%","27%","27%"
"Las Vegas Raiders","LV","49%","44%","19%","22%","32%","35%"
"Los Angeles Chargers","LAC","68%","64%","14%","17%","18%","19%"
"Los Angeles Rams","LAR","63%","62%","11%","11%","26%","27%"
"Miami Dolphins","MIA","53%","50%","25%","27%","22%","23%"
"Minnesota Vikings","MIN","63%","56%","17%","20%","20%","24%"
"New England Patriots","NE","59%","58%","18%","20%","23%","23%"
"New Orleans Saints","NO","63%","58%","14%","18%","23%","24%"
"New York Giants","NYG","60%","56%","20%","24%","20%","20%"
"New York Jets","NYJ","58%","53%","20%","22%","23%","25%"
"Philadelphia Eagles","PHI","63%","60%","15%","16%","23%","24%"
"Pittsburgh Steelers","PIT","45%","37%","25%","31%","30%","31%"
"San Francisco 49ers","SF","46%","41%","31%","34%","24%","26%"
"Seattle Seahawks","SEA","64%","62%","14%","16%","22%","22%"
"Tampa Bay Buccaneers","TB","67%","60%","17%","22%","16%","17%"
"Tennessee Titans","TEN","56%","46%","18%","23%","26%","31%"
"Washington Commanders","WAS","63%","60%","13%","15%","24%","26%"
