"Name","Team","Pos","Pos","TrueValue","Diff","Average ADP","Markers"
"Jahmyr Gibbs","DET","RB","RB","1.02","-","1.02","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Bijan Robinson","ATL","RB","RB","1.02","-","1.02","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Christian McCaffrey","SF","RB","RB","1.04","+3Picks","1.07","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Ja'Marr Chase","CIN","WR","WR","1.05","-1Pick","1.04","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Puka Nacua","LAR","WR","WR","1.06","-1Pick","1.05","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Jaxon Smith-Njigba","SEA","WR","WR","1.07","-1Pick","1.06","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Amon-Ra St. Brown","DET","WR","WR","1.07","+2Picks","1.09","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Jonathan Taylor","IND","RB","RB","1.09","-2Picks","1.07","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"James Cook III","BUF","RB","RB","1.10","-","1.10","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"CeeDee Lamb","DAL","WR","WR","1.11","-","1.11","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"De'Von Achane","MIA","RB","RB","1.12","+1Pick","2.01","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Kenneth Walker","KC","RB","RB","2.01","+9Picks","2.10","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
